Country,Continent,Hemisphere,Month,Year,Season
Usa,North America,North,6,2018,Summer
Usa,North America,North,6,2018,Summer
Usa,North America,North,6,2018,Summer
Australia,Oceania,South,6,2018,Winter
Mexico,North America,North,6,2018,Summer
Australia,Oceania,South,6,2018,Winter
Brazil,South America,South,6,2018,Winter
Usa,North America,North,5,2018,Spring
Usa,North America,North,5,2018,Spring
Usa,North America,North,5,2018,Spring
Australia,Oceania,South,5,2018,Autumn
Usa,North America,North,5,2018,Spring
Usa,North America,North,5,2018,Spring
England,Europe,North,5,2018,Spring
South Africa,Africa,South,5,2018,Autumn
Australia,Oceania,South,5,2018,Autumn
Costa Rica,North America,North,4,2018,Spring
Australia,Oceania,South,4,2018,Autumn
Australia,Oceania,South,4,2018,Autumn
Australia,Oceania,South,4,2018,Autumn
Australia,Oceania,South,4,2018,Autumn
Maldives,Asia,North,4,2018,Spring
South Africa,Africa,South,4,2018,Autumn
Usa,North America,North,4,2018,Spring
Thailand,Asia,North,4,2018,Spring
Brazil,South America,South,4,2018,Autumn
Australia,Oceania,South,4,2018,Autumn
Australia,Oceania,South,4,2018,Autumn
Bahamas,North America,North,4,2018,Spring
New Caledonia,Oceania,South,4,2018,Autumn
Bahamas,North America,North,4,2018,Spring
South Africa,Africa,South,4,2018,Autumn
Usa,North America,North,3,2018,Spring
Australia,Oceania,South,3,2018,Autumn
Australia,Oceania,South,3,2018,Autumn
Australia,Oceania,South,3,2018,Autumn
South Africa,Africa,South,2,2018,Summer
Australia,Oceania,South,2,2018,Summer
Australia,Oceania,South,2,2018,Summer
Australia,Oceania,South,2,2018,Summer
Australia,Oceania,South,2,2018,Summer
Brazil,South America,South,2,2018,Summer
Ecuador,South America,South,2,2018,Summer
Australia,Oceania,South,2,2018,Summer
Australia,Oceania,South,1,2018,Summer
New Caledonia,Oceania,South,1,2018,Summer
Australia,Oceania,South,1,2018,Summer
Australia,Oceania,South,1,2018,Summer
Brazil,South America,South,1,2018,Summer
Australia,Oceania,South,1,2018,Summer
Usa,North America,North,12,2017,Winter
Usa,North America,North,12,2017,Winter
Malaysia,Asia,North,12,2017,Winter
Bahamas,North America,North,12,2017,Winter
Costa Rica,North America,North,11,2017,Autumn
Costa Rica,North America,North,11,2017,Autumn
Usa,North America,North,11,2017,Autumn
Usa,North America,North,11,2017,Autumn
Australia,Oceania,South,11,2017,Spring
Cuba,North America,North,11,2017,Autumn
Australia,Oceania,South,10,2017,Spring
Usa,North America,North,10,2017,Autumn
Mauritius,Africa,South,10,2017,Spring
Usa,North America,North,10,2017,Autumn
Usa,North America,North,10,2017,Autumn
Australia,Oceania,South,10,2017,Spring
New Zealand,Oceania,South,10,2017,Spring
Usa,North America,North,10,2017,Autumn
Usa,North America,North,10,2017,Autumn
Usa,North America,North,10,2017,Autumn
South Africa,Africa,South,10,2017,Spring
Usa,North America,North,9,2017,Autumn
Australia,Oceania,South,9,2017,Spring
Usa,North America,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
Spain,Europe,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
South Africa,Africa,South,9,2017,Spring
Samoa,Oceania,South,9,2017,Spring
Usa,North America,North,9,2017,Autumn
Australia,Oceania,South,9,2017,Spring
Australia,Oceania,South,9,2017,Spring
South Africa,Africa,South,9,2017,Spring
Japan,Asia,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
Usa,North America,North,9,2017,Autumn
Australia,Oceania,South,8,2017,Winter
Usa,North America,North,8,2017,Summer
Spain,Europe,North,8,2017,Summer
New Zealand,Oceania,South,8,2017,Winter
Usa,North America,North,8,2017,Summer
Bahamas,North America,North,8,2017,Summer
Usa,North America,North,8,2017,Summer
Egypt,Africa,South,8,2017,Winter
Usa,North America,North,8,2017,Summer
Usa,North America,North,8,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Bahamas,North America,North,7,2017,Summer
"St Helena, British Overseas Territory",Africa,South,7,2017,Winter
Usa,North America,North,7,2017,Summer
Spain,Europe,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
Australia,Oceania,South,7,2017,Winter
Usa,North America,North,7,2017,Summer
Usa,North America,North,7,2017,Summer
South Africa,Africa,South,7,2017,Winter
Comoros,Africa,South,7,2017,Winter
Usa,North America,North,6,2017,Summer
Usa,North America,North,6,2017,Summer
Usa,North America,North,6,2017,Summer
Usa,North America,North,6,2017,Summer
Reunion,Africa,South,6,2017,Winter
Spain,Europe,North,6,2017,Summer
Australia,Oceania,South,6,2017,Winter
Australia,Oceania,South,6,2017,Winter
Usa,North America,North,6,2017,Summer
Usa,North America,North,6,2017,Summer
Bahamas,North America,North,6,2017,Summer
Usa,North America,North,5,2017,Spring
Usa,North America,North,5,2017,Spring
Australia,Oceania,South,5,2017,Autumn
United Arab Emirates,Asia,North,5,2017,Spring
Mexico,North America,North,5,2017,Spring
Usa,North America,North,5,2017,Spring
Usa,North America,North,4,2017,Spring
South Africa,Africa,South,4,2017,Autumn
Usa,North America,North,4,2017,Spring
Reunion,Africa,South,4,2017,Autumn
New Zealand,Oceania,South,4,2017,Autumn
Usa,North America,North,4,2017,Spring
"St Helena, British Overseas Territory",Africa,South,4,2017,Autumn
Usa,North America,North,4,2017,Spring
Usa,North America,North,4,2017,Spring
Australia,Oceania,South,4,2017,Autumn
Usa,North America,North,4,2017,Spring
Usa,North America,North,4,2017,Spring
Usa,North America,North,4,2017,Spring
South Africa,Africa,South,4,2017,Autumn
Usa,North America,North,4,2017,Spring
Usa,North America,North,4,2017,Spring
Usa,North America,North,4,2017,Spring
