Country,Continent,Month,Year,Season,Type Shark
Mexico,North America,6,2018,Summer,Tiger
Brazil,South America,6,2018,Winter,Tiger
Costa Rica,North America,4,2018,Spring,Tiger
Australia,Oceania,4,2018,Autumn,White Shark
Maldives,Asia,4,2018,Spring,Tiger
South Africa,Africa,4,2018,Autumn,White Shark
Thailand,Asia,4,2018,Spring,Bull
Bahamas,North America,4,2018,Spring,Tiger
Bahamas,North America,4,2018,Spring,Bull
South Africa,Africa,4,2018,Autumn,White Shark
South Africa,Africa,2,2018,Summer,Blacktip
Australia,Oceania,2,2018,Summer,White Shark
Australia,Oceania,2,2018,Summer,Bull
Australia,Oceania,1,2018,Summer,Bull
New Caledonia,Oceania,1,2018,Summer,Bull
Australia,Oceania,1,2018,Summer,White Shark
Costa Rica,North America,11,2017,Autumn,Tiger
Costa Rica,North America,11,2017,Autumn,Tiger
Cuba,North America,11,2017,Autumn,Tiger
Australia,Oceania,10,2017,Spring,White Shark
Australia,Oceania,9,2017,Spring,White Shark
Australia,Oceania,9,2017,Spring,White Shark
Australia,Oceania,8,2017,Winter,White Shark
Egypt,Africa,8,2017,Winter,White Shark
South Africa,Africa,7,2017,Winter,White Shark
Australia,Oceania,6,2017,Winter,White Shark
Bahamas,North America,6,2017,Summer,Tiger
Australia,Oceania,4,2017,Autumn,White Shark
Australia,Oceania,2,2017,Summer,Bull
South Africa,Africa,2,2017,Summer,Tiger
Australia,Oceania,1,2017,Summer,Bull
Indonesia,Asia,1,2017,Winter,Bull
South Africa,Africa,12,2016,Summer,White Shark
Australia,Oceania,12,2016,Summer,White Shark
Mexico,North America,10,2016,Autumn,White Shark
Australia,Oceania,9,2016,Spring,White Shark
Australia,Oceania,7,2016,Winter,White Shark
Bahamas,North America,7,2016,Summer,Bull
South Africa,Africa,6,2016,Winter,White Shark
Egypt,Africa,6,2016,Winter,Mako
Australia,Oceania,5,2016,Autumn,White Shark
New Zealand,Oceania,5,2016,Autumn,Mako
Indonesia,Asia,4,2016,Spring,Bull
South Africa,Africa,4,2016,Autumn,White Shark
New Caledonia,Oceania,4,2016,Autumn,Tiger
Brazil,South America,3,2016,Autumn,Tiger
Brazil,South America,2,2016,Summer,Tiger
United Arab Emirates,Asia,1,2016,Winter,Mako
Australia,Oceania,1,2016,Summer,Blacktip
South Africa,Africa,12,2015,Summer,White Shark
Brazil,South America,12,2015,Summer,Tiger
Australia,Oceania,12,2015,Summer,White Shark
Bahamas,North America,12,2015,Winter,Bull
Australia,Oceania,11,2015,Spring,Bull
South Africa,Africa,10,2015,Spring,White Shark
Australia,Oceania,9,2015,Spring,White Shark
Australia,Oceania,7,2015,Winter,White Shark
Australia,Oceania,7,2015,Winter,White Shark
South Africa,Africa,7,2015,Winter,White Shark
Australia,Oceania,7,2015,Winter,White Shark
Australia,Oceania,7,2015,Winter,White Shark
South Africa,Africa,6,2015,Winter,White Shark
South Africa,Africa,6,2015,Winter,White Shark
Australia,Oceania,6,2015,Winter,White Shark
New Caledonia,Oceania,5,2015,Autumn,Bull
Australia,Oceania,5,2015,Autumn,White Shark
South Africa,Africa,5,2015,Autumn,White Shark
Australia,Oceania,4,2015,Autumn,White Shark
Australia,Oceania,6,2015,Winter,White Shark
South Africa,Africa,3,2015,Autumn,White Shark
Egypt,Africa,3,2015,Autumn,Mako
French Polynesia,Oceania,3,2015,Autumn,Blacktip
French Polynesia,Oceania,3,2015,Autumn,Blacktip
Australia,Oceania,1,2015,Summer,Bull
Bahamas,North America,1,2015,Winter,White Shark
Australia,Oceania,12,2014,Summer,White Shark
Australia,Oceania,12,2014,Summer,Tiger
Australia,Oceania,11,2014,Spring,White Shark
Australia,Oceania,10,2014,Spring,White Shark
Bahamas,North America,8,2014,Summer,Bull
South Africa,Africa,8,2014,Winter,White Shark
Australia,Oceania,5,2014,Autumn,Bull
Australia,Oceania,5,2014,Autumn,White Shark
Australia,Oceania,4,2014,Autumn,White Shark
French Polynesia,Oceania,2,2014,Summer,Blacktip
New Caledonia,Oceania,12,2013,Summer,Bull
South Africa,Africa,12,2013,Summer,White Shark
Australia,Oceania,11,2013,Spring,Tiger
Australia,Oceania,11,2013,Spring,White Shark
Australia,Oceania,11,2013,Spring,White Shark
Australia,Oceania,10,2013,Spring,Blacktip
Australia,Oceania,10,2013,Spring,White Shark
South Africa,Africa,10,2013,Spring,White Shark
Australia,Oceania,10,2013,Spring,White Shark
Bahamas,North America,8,2013,Summer,Blacktip
France,Europe,8,2013,Summer,Mako
Mexico,North America,4,2013,Spring,Tiger
French Polynesia,Oceania,4,2013,Autumn,Blacktip
Jamaica,North America,3,2013,Spring,Tiger
New Zealand,Oceania,2,2013,Summer,White Shark
Australia,Oceania,1,2013,Summer,White Shark
Australia,Oceania,12,2012,Summer,Bull
South Africa,Africa,12,2012,Summer,Tiger
Australia,Oceania,12,2012,Summer,Tiger
Australia,Oceania,12,2012,Summer,Tiger
Tonga,Oceania,9,2012,Spring,Bull
Australia,Oceania,7,2012,Winter,White Shark
Australia,Oceania,7,2012,Winter,White Shark
Australia,Oceania,6,2012,Winter,White Shark
Mexico,North America,5,2012,Spring,Bull
South Africa,Africa,4,2012,Autumn,White Shark
Australia,Oceania,4,2012,Autumn,White Shark
Australia,Oceania,3,2012,Autumn,White Shark
Australia,Oceania,3,2012,Autumn,White Shark
Australia,Oceania,3,2012,Autumn,Bull
South Africa,Africa,2,2012,Summer,White Shark
Australia,Oceania,1,2012,Summer,Tiger
Australia,Oceania,1,2012,Summer,White Shark
South Africa,Africa,1,2012,Summer,Bull
Australia,Oceania,1,2012,Summer,Tiger
Australia,Oceania,12,2011,Summer,White Shark
Australia,Oceania,10,2011,Spring,White Shark
South Africa,Africa,9,2011,Spring,White Shark
Papua New Guinea,Oceania,9,2011,Spring,Tiger
Australia,Oceania,9,2011,Spring,White Shark
South Africa,Africa,8,2011,Winter,White Shark
Seychelles,Africa,8,2011,Winter,Bull
South Africa,Africa,7,2011,Winter,White Shark
South Africa,Africa,6,2011,Winter,Bull
Malaysia,Asia,6,2011,Summer,Blacktip
South Africa,Africa,5,2011,Autumn,White Shark
New Caledonia,Oceania,5,2011,Autumn,Tiger
Indonesia,Asia,4,2011,Spring,Bull
Mexico,North America,3,2011,Spring,Bull
Australia,Oceania,3,2011,Autumn,Bull
Australia,Oceania,2,2011,Summer,White Shark
Australia,Oceania,1,2011,Summer,White Shark
Egypt,Africa,12,2010,Summer,White Shark
Egypt,Africa,12,2010,Summer,Mako
Egypt,Africa,12,2010,Summer,Mako
Egypt,Africa,11,2010,Spring,White Shark
Egypt,Africa,11,2010,Spring,White Shark
Australia,Oceania,10,2010,Spring,White Shark
Australia,Oceania,10,2010,Spring,Bull
South Africa,Africa,9,2010,Spring,White Shark
Australia,Oceania,8,2010,Winter,White Shark
Egypt,Africa,4,2010,Autumn,White Shark
Australia,Oceania,2,2010,Summer,White Shark
South Africa,Africa,1,2010,Summer,White Shark
Australia,Oceania,1,2010,Summer,White Shark
Australia,Oceania,12,2009,Summer,Bull
New Zealand,Oceania,12,2009,Summer,White Shark
Australia,Oceania,12,2009,Summer,White Shark
Australia,Oceania,10,2009,Spring,White Shark
South Africa,Africa,8,2009,Winter,White Shark
South Africa,Africa,8,2009,Winter,White Shark
Egypt,Africa,6,2009,Winter,White Shark
Egypt,Africa,6,2009,Winter,White Shark
Egypt,Africa,6,2009,Winter,White Shark
Guam,Oceania,5,2009,Autumn,Blacktip
Australia,Oceania,2,2009,Summer,White Shark
Australia,Oceania,2,2009,Summer,Bull
Australia,Oceania,2,2009,Summer,White Shark
Cuba,North America,1,2009,Winter,Bull
South Africa,Africa,1,2009,Summer,Tiger
Australia,Oceania,1,2009,Summer,White Shark
Australia,Oceania,1,2009,Summer,White Shark
Australia,Oceania,1,2009,Summer,White Shark
Australia,Oceania,12,2008,Summer,White Shark
Australia,Oceania,12,2008,Summer,White Shark
Australia,Oceania,12,2006,Summer,White Shark
Egypt,Africa,11,2008,Spring,White Shark
Croatia,Europe,10,2008,Autumn,White Shark
Australia,Oceania,7,2008,Winter,White Shark
Egypt,Africa,7,2008,Winter,White Shark
Bahamas,North America,6,2008,Summer,Bull
South Africa,Africa,6,2008,Winter,White Shark
Brazil,South America,6,2008,Winter,Bull
Bahamas,North America,5,2008,Spring,Tiger
Australia,Oceania,5,2008,Autumn,White Shark
New Caledonia,Oceania,5,2008,Autumn,Bull
Mexico,North America,4,2008,Spring,Tiger
New Caledonia,Oceania,4,2008,Autumn,Bull
Australia,Oceania,4,2008,Autumn,Tiger
Australia,Oceania,4,2008,Autumn,Bull
Bahamas,North America,2,2008,Winter,Bull
South Africa,Africa,1,2008,Summer,Blacktip
Australia,Oceania,1,2008,Summer,Mako
South Africa,Africa,11,2007,Spring,White Shark
Australia,Oceania,10,2007,Spring,White Shark
New Caledonia,Oceania,9,2007,Spring,Tiger
Egypt,Africa,9,2007,Spring,White Shark
Bahamas,North America,7,2007,Summer,Bull
New Caledonia,Oceania,4,2007,Autumn,Tiger
New Caledonia,Oceania,1,2007,Summer,Tiger
Australia,Oceania,1,2007,Summer,White Shark
South Africa,Africa,1,2007,Summer,Tiger
Australia,Oceania,12,2006,Summer,White Shark
South Africa,Africa,11,2006,Spring,Bull
South Africa,Africa,9,2006,Spring,White Shark
South Africa,Africa,8,2006,Winter,White Shark
South Africa,Africa,7,2006,Winter,White Shark
Brazil,South America,7,2006,Winter,Tiger
Australia,Oceania,6,2006,Winter,White Shark
Brazil,South America,4,2006,Autumn,Tiger
Fiji,Oceania,3,2006,Autumn,Tiger
Australia,Oceania,2,2006,Summer,White Shark
Tonga,Oceania,2,2006,Summer,Tiger
Australia,Oceania,1,2006,Summer,White Shark
